loinc_code,loinc_code_description
63834-6,"Is the wall material of your work space textile, cloth, jute, etc [FEAS]"
92278-1,Lived with someone who smoked regularly inside the home during childhood
66357-5,"Many shops, stores, markets, or other places to buy things I need are within easy walking distance of my home [PhenX]"
67613-0,My neighborhood is safe from crime [PhenX]
62944-4,PhenX - exposures to violence - adult protocol 181401
62945-1,PhenX - exposures to violence - child protocol 181402
63017-8,PhenX - family conflict - intimate-relationship protocol 210401
63018-6,PhenX - family conflict - parent - child protocol 210402
63036-8,PhenX - neighborhood concentrated disadvantage protocol 211301
63028-5,PhenX - neighborhood safety protocol 210901
64035-9,Repair done in your home during the past 12 months if other [FEAS]
92274-0,Rules for using smoked tobacco products inside home
92279-9,Rules for using smokeless tobacco products inside home
66362-5,The crime rate in my neighborhood makes it unsafe to go on walks at night [PhenX]
63832-0,What is the floor material in your workspace [FEAS]
63838-7,Which of the following repairs was done in your home during the past 12 months [FEAS]
67040-6,Your rent or mortgage is too much [PhenX]
67597-5,A large selection of fresh fruits and vegetables is available in my neighborhood [PhenX]
67598-3,A large selection of low-fat products is available in my neighborhood [PhenX]
92657-6,Age when first fed formula
92661-8,Age when first fed something other than breast milk or formula
93668-2,Did you or others you live with eat smaller meals or skip meals because you didn't have money for food in the past 2 months [WellRx]
88124-3,Food insecurity risk [HVS]
77234-3,How often in the past 12 months would you say the patient was worried or stressed about having enough money to buy nutritious meals [BRFSS]
91658-5,How often is the following kind of support available to you if you need it - someone to prepare your meals if you were unable to do it yourself [MOS Social Support Survey]
65464-0,"I did not feel like eating, I wasn't very hungry [CES-DC]"
87303-4,Mother WIC food recipient
63024-4,PhenX - healthy food environments protocol 210701
45738-2,Regular or repetitive complaints of hunger [Minimum Data Set]
89088-9,WIC services recipient
88123-5,Within the past 12 months the food we bought just didn't last and we didn't have money to get more [U.S. FSS]
88122-7,Within the past 12 months we worried whether our food would run out before we got money to buy more [U.S. FSS]
87535-1,Challenges to maintaining treatments or health behaviors
93678-1,Have you been at the emergency department more than twice in the last 6 months [WellRx]
74186-8,Health insurance funding was provided
93680-7,Hospitalized in the last 6 months
91653-6,How often is the following kind of support available to you if you need it - someone to take you to the doctor if you needed it [MOS Social Support Survey]
68503-2,How well do you speak english [SAMHSA]
52553-5,Language.primary is English
92257-5,Number of visits with usual provider 12 months
52556-8,Payment sources
94066-8,Person-Centered Primary Care Measure [PCPCM]
54899-0,Preferred language
76437-3,Primary insurance
68504-0,What language do you feel most comfortable speaking with your doctor or nurse [SAMHSA]
